split,formula,rxn_id,frame_idx,n_frames,n_atoms,xi_index,energy_raw,energy_rel_first_raw,traj_barrier_raw,endpoint_barrier_raw,force_l2,force_rms
train,C2H2N2O2,rxn3534,0,290,8,0.0,-9176.337552894462,0.0,3.788732301116397,3.722965791634124,0.07492738213982178,0.015294487833757411
train,C2H2N2O2,rxn3534,25,290,8,0.08650519031141868,-9173.31045322957,3.0270996648923756,3.788732301116397,3.722965791634124,2.0541913685015394,0.4193100572381884
train,C2H2N2O2,rxn3534,50,290,8,0.17301038062283736,-9176.209331647684,0.12822124677768443,3.788732301116397,3.722965791634124,1.256601183304841,0.25650264243953436
train,C2H2N2O2,rxn3534,75,290,8,0.25951557093425603,-9175.879465188098,0.4580877063635853,3.788732301116397,3.722965791634124,2.102995073577956,0.4292720718210632
train,C2H2N2O2,rxn3534,100,290,8,0.3460207612456747,-9175.167504944508,1.1700479499540961,3.788732301116397,3.722965791634124,3.6510908092937475,0.7452757906112473
train,C2H2N2O2,rxn3534,125,290,8,0.43252595155709345,-9173.71271335404,2.624839540421817,3.788732301116397,3.722965791634124,5.710707962063438,1.165693381425385
train,C2H2N2O2,rxn3534,150,290,8,0.5190311418685121,-9172.613791886806,3.723761007655412,3.788732301116397,3.722965791634124,0.06299199743627677,0.012858187633132017
train,C2H2N2O2,rxn3534,175,290,8,0.6055363321799307,-9172.902194833696,3.435358060765793,3.788732301116397,3.722965791634124,2.742326488276213,0.5597750503662664
train,C2H2N2O2,rxn3534,200,290,8,0.6920415224913494,-9173.27768082668,3.059872067780816,3.788732301116397,3.722965791634124,1.2408321991733726,0.2532838120325225
train,C2H2N2O2,rxn3534,225,290,8,0.7785467128027682,-9173.36724245466,2.970310439801324,3.788732301116397,3.722965791634124,0.3384910080365462,0.06909418768415486
train,C2H2N2O2,rxn3534,250,290,8,0.8650519031141869,-9176.319919867636,0.017633026825933484,3.788732301116397,3.722965791634124,0.2246462789347233,0.04585572966708445
train,C2H2N2O2,rxn3534,275,290,8,0.9515570934256056,-9176.040503517554,0.2970493769080349,3.788732301116397,3.722965791634124,1.5039244307227015,0.3069872889146906
train,C2H2N2O2,rxn3534,289,290,8,1.0,-9173.367376421265,2.970176473196261,3.788732301116397,3.722965791634124,0.3332127295988105,0.0680167636097559
train,C2H2N2O2,rxn3535,0,1322,8,0.0,-9176.337552894462,0.0,3.380680286356437,3.17610001353205,0.07492738213982178,0.015294487833757411
train,C2H2N2O2,rxn3535,25,1322,8,0.018925056775170326,-9173.953638496863,2.383914397598346,3.380680286356437,3.17610001353205,3.4563678369119035,0.7055281303167824
train,C2H2N2O2,rxn3535,50,1322,8,0.03785011355034065,-9176.094773350454,0.24277954400713497,3.380680286356437,3.17610001353205,2.787801910499809,0.5690576820567191
